; Source, Eternity's rdbtool
0bd05b27,mit
0d34474d,srst
17614af5,g1mx
1fdcaa40,kidstask
20a6a0bb,kidsobjdb
27bc54b7,rigbin
4d0102ac,g1em
4f16d0ef,kts
5153729b,mtl
54738c76,g1co
5599aa51,kscl
563bdef1,g1m
56d8deda,sid
5c3e543c,swg
6fa91671,g1a
757347e0,bpo
786dcd84,g1n
79c724c2,g1p
7bcd279f,g1s
9cb3a4b6,oidex
a027e46b,mov
a8d88566,g1cox
afbec60c,g1t
b097d41f,g1e
b0a14534,sgcbin
b1630f51,kidsrender
bbd39f2d,srsa
bbf9b49d,grp
be144b78,ktid
bf6b52c7,name
d7f47fb1,efpl
dbcb74a9,oid
f20de437,texinfo
1ab40ae8,oid
56efe45c,grp
e6a3c3bb,oidex
8e39aa37,ktid
b340861a,mtl
